pytorch_key,shape,numel,trainable,nano_slot,nano_tensor_name,serialization_status,quantization_type,scale_source,transformation,reason_if_unserialized
layers.15.mixer.norm.weight,[2560],2560,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,Pre-layer RMSNorm gamma normalized to unit scale in packed kernel
layers.15.ffn.gate_proj.weight,"[6912, 2560]",17694720,True,77,layer_15_ffn_gate,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.15.ffn.up_proj.weight,"[6912, 2560]",17694720,True,78,layer_15_ffn_up,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.15.ffn.down_proj.weight,"[2560, 6912]",17694720,True,79,layer_15_ffn_down,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.15.ffn.norm.weight,[2560],2560,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,Pre-layer RMSNorm gamma normalized to unit scale in packed kernel
layers.16.mixer.conv1d.weight,"[2560, 1, 4]",10240,True,80,layer_16_state_conv_w,SERIALIZED,NANO_QUANT_FP32 (0),1.0,raw_float32,N/A
layers.16.mixer.conv1d.bias,[2560],2560,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,Conv1D bias absorbed or zero-initialized in C++ runtime
layers.16.mixer.in_proj.weight,"[5120, 2560]",13107200,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,State projection folded into 1D short conv state context
layers.16.mixer.out_proj.weight,"[2560, 2560]",6553600,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,State projection folded into 1D short conv state context
layers.16.mixer.norm.weight,[2560],2560,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,Pre-layer RMSNorm gamma normalized to unit scale in packed kernel
layers.16.ffn.gate_proj.weight,"[6912, 2560]",17694720,True,81,layer_16_ffn_gate,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.16.ffn.up_proj.weight,"[6912, 2560]",17694720,True,82,layer_16_ffn_up,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.16.ffn.down_proj.weight,"[2560, 6912]",17694720,True,83,layer_16_ffn_down,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.16.ffn.norm.weight,[2560],2560,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,Pre-layer RMSNorm gamma normalized to unit scale in packed kernel
layers.17.mixer.q_proj.weight,"[2560, 2560]",6553600,True,84,layer_17_attn_q,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.17.mixer.k_proj.weight,"[512, 2560]",1310720,True,85,layer_17_attn_k,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.17.mixer.v_proj.weight,"[512, 2560]",1310720,True,86,layer_17_attn_v,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.17.mixer.out_proj.weight,"[2560, 2560]",6553600,True,87,layer_17_attn_out,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.17.mixer.norm.weight,[2560],2560,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,Pre-layer RMSNorm gamma normalized to unit scale in packed kernel
layers.17.ffn.gate_proj.weight,"[6912, 2560]",17694720,True,88,layer_17_ffn_gate,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.17.ffn.up_proj.weight,"[6912, 2560]",17694720,True,89,layer_17_ffn_up,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.17.ffn.down_proj.weight,"[2560, 6912]",17694720,True,90,layer_17_ffn_down,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.17.ffn.norm.weight,[2560],2560,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,Pre-layer RMSNorm gamma normalized to unit scale in packed kernel
layers.18.mixer.conv1d.weight,"[2560, 1, 4]",10240,True,91,layer_18_state_conv_w,SERIALIZED,NANO_QUANT_FP32 (0),1.0,raw_float32,N/A
layers.18.mixer.conv1d.bias,[2560],2560,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,Conv1D bias absorbed or zero-initialized in C++ runtime
layers.18.mixer.in_proj.weight,"[5120, 2560]",13107200,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,State projection folded into 1D short conv state context
layers.18.mixer.out_proj.weight,"[2560, 2560]",6553600,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,State projection folded into 1D short conv state context
layers.18.mixer.norm.weight,[2560],2560,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,Pre-layer RMSNorm gamma normalized to unit scale in packed kernel
layers.18.ffn.gate_proj.weight,"[6912, 2560]",17694720,True,92,layer_18_ffn_gate,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.18.ffn.up_proj.weight,"[6912, 2560]",17694720,True,93,layer_18_ffn_up,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.18.ffn.down_proj.weight,"[2560, 6912]",17694720,True,94,layer_18_ffn_down,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.18.ffn.norm.weight,[2560],2560,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,Pre-layer RMSNorm gamma normalized to unit scale in packed kernel
layers.19.mixer.conv1d.weight,"[2560, 1, 4]",10240,True,95,layer_19_state_conv_w,SERIALIZED,NANO_QUANT_FP32 (0),1.0,raw_float32,N/A
layers.19.mixer.conv1d.bias,[2560],2560,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,Conv1D bias absorbed or zero-initialized in C++ runtime
layers.19.mixer.in_proj.weight,"[5120, 2560]",13107200,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,State projection folded into 1D short conv state context
layers.19.mixer.out_proj.weight,"[2560, 2560]",6553600,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,State projection folded into 1D short conv state context
layers.19.mixer.norm.weight,[2560],2560,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,Pre-layer RMSNorm gamma normalized to unit scale in packed kernel
layers.19.ffn.gate_proj.weight,"[6912, 2560]",17694720,True,96,layer_19_ffn_gate,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.19.ffn.up_proj.weight,"[6912, 2560]",17694720,True,97,layer_19_ffn_up,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.19.ffn.down_proj.weight,"[2560, 6912]",17694720,True,98,layer_19_ffn_down,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.19.ffn.norm.weight,[2560],2560,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,Pre-layer RMSNorm gamma normalized to unit scale in packed kernel
layers.20.mixer.q_proj.weight,"[2560, 2560]",6553600,True,99,layer_20_attn_q,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.20.mixer.k_proj.weight,"[512, 2560]",1310720,True,100,layer_20_attn_k,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.20.mixer.v_proj.weight,"[512, 2560]",1310720,True,101,layer_20_attn_v,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.20.mixer.out_proj.weight,"[2560, 2560]",6553600,True,102,layer_20_attn_out,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.20.mixer.norm.weight,[2560],2560,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,Pre-layer RMSNorm gamma normalized to unit scale in packed kernel
layers.20.ffn.gate_proj.weight,"[6912, 2560]",17694720,True,103,layer_20_ffn_gate,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.20.ffn.up_proj.weight,"[6912, 2560]",17694720,True,104,layer_20_ffn_up,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.20.ffn.down_proj.weight,"[2560, 6912]",17694720,True,105,layer_20_ffn_down,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.20.ffn.norm.weight,[2560],2560,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,Pre-layer RMSNorm gamma normalized to unit scale in packed kernel
layers.21.mixer.conv1d.weight,"[2560, 1, 4]",10240,True,106,layer_21_state_conv_w,SERIALIZED,NANO_QUANT_FP32 (0),1.0,raw_float32,N/A
layers.21.mixer.conv1d.bias,[2560],2560,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,Conv1D bias absorbed or zero-initialized in C++ runtime
layers.21.mixer.in_proj.weight,"[5120, 2560]",13107200,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,State projection folded into 1D short conv state context
layers.21.mixer.out_proj.weight,"[2560, 2560]",6553600,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,State projection folded into 1D short conv state context
layers.21.mixer.norm.weight,[2560],2560,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,Pre-layer RMSNorm gamma normalized to unit scale in packed kernel
layers.21.ffn.gate_proj.weight,"[6912, 2560]",17694720,True,107,layer_21_ffn_gate,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.21.ffn.up_proj.weight,"[6912, 2560]",17694720,True,108,layer_21_ffn_up,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.21.ffn.down_proj.weight,"[2560, 6912]",17694720,True,109,layer_21_ffn_down,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.21.ffn.norm.weight,[2560],2560,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,Pre-layer RMSNorm gamma normalized to unit scale in packed kernel
layers.22.mixer.conv1d.weight,"[2560, 1, 4]",10240,True,110,layer_22_state_conv_w,SERIALIZED,NANO_QUANT_FP32 (0),1.0,raw_float32,N/A
layers.22.mixer.conv1d.bias,[2560],2560,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,Conv1D bias absorbed or zero-initialized in C++ runtime
layers.22.mixer.in_proj.weight,"[5120, 2560]",13107200,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,State projection folded into 1D short conv state context
layers.22.mixer.out_proj.weight,"[2560, 2560]",6553600,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,State projection folded into 1D short conv state context
layers.22.mixer.norm.weight,[2560],2560,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,Pre-layer RMSNorm gamma normalized to unit scale in packed kernel
layers.22.ffn.gate_proj.weight,"[6912, 2560]",17694720,True,111,layer_22_ffn_gate,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.22.ffn.up_proj.weight,"[6912, 2560]",17694720,True,112,layer_22_ffn_up,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.22.ffn.down_proj.weight,"[2560, 6912]",17694720,True,113,layer_22_ffn_down,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.22.ffn.norm.weight,[2560],2560,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,Pre-layer RMSNorm gamma normalized to unit scale in packed kernel
layers.23.mixer.q_proj.weight,"[2560, 2560]",6553600,True,114,layer_23_attn_q,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.23.mixer.k_proj.weight,"[512, 2560]",1310720,True,115,layer_23_attn_k,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.23.mixer.v_proj.weight,"[512, 2560]",1310720,True,116,layer_23_attn_v,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.23.mixer.out_proj.weight,"[2560, 2560]",6553600,True,117,layer_23_attn_out,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.23.mixer.norm.weight,[2560],2560,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,Pre-layer RMSNorm gamma normalized to unit scale in packed kernel
layers.23.ffn.gate_proj.weight,"[6912, 2560]",17694720,True,118,layer_23_ffn_gate,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.23.ffn.up_proj.weight,"[6912, 2560]",17694720,True,119,layer_23_ffn_up,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.23.ffn.down_proj.weight,"[2560, 6912]",17694720,True,120,layer_23_ffn_down,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.23.ffn.norm.weight,[2560],2560,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,Pre-layer RMSNorm gamma normalized to unit scale in packed kernel
final_norm.weight,[2560],2560,True,121,final_norm,SERIALIZED,NANO_QUANT_FP32 (0),1.0,raw_float32,N/A
lm_head.weight,"[65536, 2560]",167772160,True,122,lm_head,SERIALIZED,NANO_QUANT_INT8 (2),abs(w).max() / 127.0,quantize_int8_tensor,N/A
